Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 32,Unnamed: 33,Unnamed: 34
Aporte ,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1428571428571428,0.0,0.1176470588235294,0.1304347826086956,0.3181818181818182,0.125,0.0384615384615384,0.15,0.2666666666666666,0.1666666666666666,0.3823529411764705,0.35,0.1666666666666666,0.5555555555555556,0.3157894736842105,0.275,0.2647058823529412,0.1764705882352941,0.1578947368421052,0.2333333333333333,0.1707317073170731,0.1707317073170731,0.2857142857142857,0.027027027027027,6.3923190379189405,9,11.607680962081059
Sin dato,0,0,0,0,0,0,0,0,0,0,0,0,Promedio  conversion Historico ,0.013950330721730426,Promedio Aporte Historico,0.28323231055959996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin dato,Sin dato,Sin dato
Sin dato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin dato,Sin dato,Sin dato
Digital ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin dato,Sin dato,Sin dato
Canal ,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril ,Mayo,Junio ,Julio,Agosto,Septiembre,Octubre,Noviembre ,Diciembre,Enero ,0,0,0,0,0,0,Sin dato,Sin dato,Sin dato
Leads ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,0,0,0,0,0,0,Sin dato,Sin dato,Sin dato
Efectivos ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,0,0,0,0,0,0,Sin dato,Sin dato,Sin dato
SDC ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,0,Sin dato,Sin dato,Sin dato
PDM ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,0,0,0,0,0,Sin dato,Sin dato,Sin dato
Citas Programadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,0,0,0,0,0,0,Sin dato,Sin dato,Sin dato
Citas Efectivas ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,0,0,0,0,0,0,Sin dato,Sin dato,Sin dato
Ventas ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,0,0,0,0,0,0,Sin dato,Sin dato,Sin dato
Conversion ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.43478260869565216,0,0,0,0,0,0,Sin dato,Sin dato,Sin dato
Aporte ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.29411764705882354,0,0,0,0,0,0,Sin dato,Sin dato,Sin dato
Sin dato,0,0,Promedio  conversion Historico ,0,Promedio Aporte Historico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin dato,Sin dato,Sin dato
Sin dato,0,0,0,0,0,0,0,0,0,0,75.5,22.444444444444443,51.75,40.916666666666664,149.8,40.111111111111114,48,77.66666666666667,91.88888888888889,45.06666666666667,68.8,39.57142857142857,113.5,153.66666666666666,48.84615384615385,89.0909090909091,104.25,74.11111111111111,106.85714285714286,0,Sin dato,Sin dato,Sin dato
Aporte Otros,0,0.5833333333333334,-0.4285714285714286,0.875,0.6923076923076923,-1.3333333333333335,0.4285714285714286,0.2941176470588235,0.6470588235294118,0.17391304347826086,-0.13636363636363624,0.28125,0.3846153846153846,-0.19999999999999996,0.1333333333333333,0.1333333333333333,-0.02941176470588247,0.25,0.38888888888888895,-0.37037037037037046,0.13157894736842102,0.15000000000000002,0.23529411764705888,0.47058823529411764,0.3157894736842105,0.1333333333333333,0.41463414634146345,0.3902439024390244,0.19999999999999996,0,* Cartera /  Casa / Eventos / Prospecciòn / Estrategicas,Sin dato,Sin dato
